id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-12-01,Argentina,33,0,0.01,3,6,0,3,614,0,0.19,100,194,32,121,38,0,0.01,7,10,3,3,225,0,0.07,25,56,5,13,0,0,0,0,0,0,0,305,0,0.09,59,85,20,101,433,0,0.13,68,128,28,110,156,0,0.05,29,52,11,44,27,0,0.01,3,7,0,2,198,0,0.06,18,68,10,57,220,0,0.07,28,64,9,67,246,0,0.08,24,61,5,38,103,0,0.03,27,29,7,40,174,0,0.05,45,54,19,73,27,0,0.01,3,8,0,2,92,0,0.03,15,30,6,31,63,0,0.02,14,33,4,30,323,0,0.1,51,126,23,137
ARG,2022-12-02,Argentina,19,-0.42,0.01,4,4,0,2,711,0.16,0.22,132,207,43,155,28,-0.26,0.01,4,9,2,4,195,-0.13,0.06,24,46,7,17,0,100,0,0,0,0,0,218,-0.29,0.07,59,62,24,68,408,-0.06,0.13,51,128,19,101,159,0.02,0.05,20,55,8,44,39,0.44,0.01,4,5,1,6,205,0.04,0.06,25,57,12,49,221,0,0.07,39,81,13,68,234,-0.05,0.07,29,53,5,35,82,-0.2,0.03,17,22,4,23,198,0.14,0.06,44,75,11,95,18,-0.33,0.01,3,5,2,7,90,-0.02,0.03,22,25,7,26,79,0.25,0.02,11,31,5,39,281,-0.13,0.09,46,105,18,102
ARG,2022-12-03,Argentina,12,-0.37,0.01,4,3,0,1,293,-0.59,0.16,54,96,18,59,16,-0.43,0.01,3,7,0,4,103,-0.47,0.06,19,22,3,8,0,100,0,0,0,0,0,153,-0.3,0.08,46,47,14,34,266,-0.35,0.14,29,108,12,85,85,-0.47,0.05,13,33,10,20,8,-0.79,0,0,1,1,2,101,-0.51,0.05,12,51,9,24,121,-0.45,0.06,24,49,5,42,124,-0.47,0.07,11,36,5,21,58,-0.29,0.03,11,21,4,16,130,-0.34,0.07,26,53,12,52,22,0.22,0.01,4,8,4,6,72,-0.2,0.04,12,26,6,19,97,0.23,0.05,6,67,6,59,204,-0.27,0.11,35,79,16,103
ARG,2022-12-04,Argentina,17,0.42,0.01,3,6,1,4,206,-0.3,0.13,34,80,15,43,18,0.13,0.01,4,6,1,1,93,-0.1,0.06,12,18,6,5,0,100,0,0,0,0,0,113,-0.26,0.07,27,36,9,38,189,-0.29,0.12,33,67,9,47,96,0.13,0.06,11,45,5,25,10,0.25,0.01,2,1,0,2,185,0.83,0.12,15,43,67,58,83,-0.31,0.05,23,33,7,34,130,0.05,0.08,12,42,4,33,41,-0.29,0.03,10,12,1,13,96,-0.26,0.06,14,38,10,32,14,-0.36,0.01,2,6,1,2,53,-0.26,0.03,17,20,4,17,64,-0.34,0.04,6,34,4,31,150,-0.26,0.1,22,79,15,74
ARG,2022-12-05,Argentina,24,0.41,0.01,0,9,2,4,506,1.46,0.17,57,128,16,53,39,1.17,0.01,6,11,1,7,213,1.29,0.07,14,43,2,6,0,100,0,0,0,0,0,210,0.86,0.07,57,45,9,47,386,1.04,0.13,74,136,28,102,150,0.56,0.05,16,58,13,41,22,1.2,0.01,2,5,1,1,182,-0.02,0.06,24,60,12,46,191,1.3,0.06,29,65,11,62,185,0.42,0.06,15,45,3,30,82,1,0.03,15,25,6,34,159,0.66,0.05,42,56,10,51,22,0.57,0.01,2,10,1,5,82,0.55,0.03,14,26,1,19,117,0.83,0.04,24,54,16,57,442,1.95,0.15,88,191,39,171
ARG,2022-12-06,Argentina,26,0.08,0.01,2,11,0,4,468,-0.08,0.16,70,113,17,57,29,-0.26,0.01,6,7,3,9,184,-0.14,0.06,23,40,3,16,0,100,0,0,0,0,0,167,-0.2,0.06,46,47,5,46,370,-0.04,0.12,56,111,11,88,106,-0.29,0.04,15,49,8,42,22,0,0.01,4,5,1,4,189,0.04,0.06,27,54,9,42,206,0.08,0.07,42,72,13,62,183,-0.01,0.06,25,44,8,30,155,0.89,0.05,23,52,9,73,189,0.19,0.06,44,84,26,87,17,-0.23,0.01,1,4,0,4,95,0.16,0.03,22,36,7,30,111,-0.05,0.04,16,48,9,54,468,0.06,0.16,79,201,36,201
ARG,2022-12-07,Argentina,18,-0.31,0.01,3,7,1,4,495,0.06,0.15,77,138,14,49,40,0.38,0.01,8,10,1,15,229,0.24,0.07,21,50,6,21,0,100,0,0,0,0,0,173,0.04,0.05,33,53,14,53,381,0.03,0.12,70,126,21,101,134,0.26,0.04,23,44,8,31,18,-0.18,0.01,5,1,0,0,181,-0.04,0.06,23,51,7,58,234,0.14,0.07,37,74,11,68,193,0.05,0.06,29,56,7,58,132,-0.15,0.04,29,43,8,64,176,-0.07,0.05,33,84,15,86,12,-0.29,0,4,3,1,3,109,0.15,0.03,23,35,5,33,134,0.21,0.04,25,59,13,72,578,0.24,0.18,102,250,43,263
ARG,2022-12-08,Argentina,11,-0.39,0,0,8,2,6,309,-0.38,0.14,55,91,12,48,26,-0.35,0.01,5,8,0,10,125,-0.45,0.06,16,36,3,17,0,100,0,0,0,0,0,143,-0.17,0.06,45,36,13,45,280,-0.27,0.13,40,116,18,90,146,0.09,0.07,18,55,10,45,17,-0.06,0.01,2,8,0,5,141,-0.22,0.06,22,37,7,44,170,-0.27,0.08,35,69,14,73,158,-0.18,0.07,21,48,4,46,86,-0.35,0.04,23,35,7,40,116,-0.34,0.05,33,51,19,56,20,0.67,0.01,3,6,0,2,86,-0.21,0.04,16,33,8,35,79,-0.41,0.04,9,39,6,39,321,-0.44,0.14,46,159,35,147
ARG,2022-12-09,Argentina,30,1.73,0.02,6,12,2,5,225,-0.27,0.13,42,73,13,25,26,0,0.01,3,11,2,7,90,-0.28,0.05,13,25,5,10,0,100,0,0,0,0,0,119,-0.17,0.07,32,42,8,50,191,-0.32,0.11,33,76,12,71,98,-0.33,0.06,20,43,9,34,8,-0.53,0,1,3,0,2,94,-0.33,0.05,18,35,10,21,146,-0.14,0.08,37,51,15,55,171,0.08,0.1,25,41,10,51,104,0.21,0.06,22,37,3,52,124,0.07,0.07,49,38,10,62,13,-0.35,0.01,2,7,0,2,63,-0.27,0.04,15,17,4,22,72,-0.09,0.04,11,30,5,30,184,-0.43,0.1,33,80,12,78
ARG,2022-12-10,Argentina,9,-0.7,0.01,1,2,0,3,160,-0.29,0.11,22,50,5,25,16,-0.38,0.01,5,10,4,4,69,-0.23,0.05,9,18,2,6,0,100,0,0,0,0,0,129,0.08,0.09,26,41,9,48,216,0.13,0.15,40,95,14,57,74,-0.24,0.05,18,23,9,24,11,0.38,0.01,1,4,0,4,72,-0.23,0.05,13,32,1,21,131,-0.1,0.09,33,44,10,50,116,-0.32,0.08,21,38,9,35,65,-0.37,0.04,17,22,4,38,63,-0.49,0.04,14,24,4,28,26,1,0.02,3,9,5,1,69,0.1,0.05,14,29,7,19,53,-0.26,0.04,5,28,6,26,188,0.02,0.13,33,84,17,66
ARG,2022-12-11,Argentina,13,0.44,0.01,0,10,1,1,193,0.21,0.12,50,58,6,29,22,0.38,0.01,10,7,0,8,50,-0.28,0.03,12,14,0,7,0,100,0,0,0,0,0,168,0.3,0.1,54,51,11,51,227,0.05,0.14,42,95,12,61,61,-0.18,0.04,13,31,6,23,24,1.18,0.01,3,4,1,3,79,0.1,0.05,17,36,9,26,117,-0.11,0.07,17,50,11,51,101,-0.13,0.06,25,36,12,38,77,0.18,0.05,18,31,6,39,93,0.48,0.06,28,41,9,44,39,0.5,0.02,10,18,10,6,64,-0.07,0.04,17,25,8,29,62,0.17,0.04,12,27,5,26,253,0.35,0.15,55,94,13,91
BHS,2022-12-01,Bahamas,0,0,0,0,0,0,0,15,0,0.08,2,4,5,2,6,0,0.03,0,2,0,1,10,0,0.05,4,3,1,0,0,0,0,0,0,0,0,21,0,0.11,4,8,2,6,20,0,0.11,4,6,2,6,9,0,0.05,2,1,1,5,0,0,0,0,0,0,0,18,0,0.09,1,5,0,5,17,0,0.09,2,4,0,5,19,0,0.1,2,8,1,2,1,0,0.01,0,1,0,0,25,0,0.13,2,12,4,7,1,0,0.01,0,0,0,1,1,0,0.01,0,0,0,0,19,0,0.1,1,8,0,5,8,0,0.04,2,2,1,4
