id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-02-01,Argentina,23,0,0.01,8,6,1,7,249,0,0.08,37,75,9,51,31,0,0.01,9,11,4,8,197,0,0.06,19,60,5,23,0,0,0,0,0,0,0,228,0,0.07,57,78,8,67,425,0,0.14,67,175,27,137,142,0,0.05,24,48,14,51,53,0,0.02,3,12,1,9,237,0,0.08,37,92,19,55,255,0,0.08,41,103,24,96,209,0,0.07,35,62,7,62,109,0,0.04,17,38,5,31,196,0,0.06,54,84,33,102,17,0,0.01,3,4,2,4,124,0,0.04,32,40,12,43,123,0,0.04,20,54,3,59,430,0,0.14,49,166,21,153
ARG,2023-02-02,Argentina,29,0.26,0.01,6,10,3,3,256,0.03,0.09,38,86,23,53,24,-0.23,0.01,6,8,2,6,215,0.09,0.08,36,47,4,13,0,100,0,0,0,0,0,214,-0.06,0.08,56,68,6,60,375,-0.12,0.14,57,147,22,99,116,-0.18,0.04,18,44,7,32,70,0.32,0.03,10,17,0,5,159,-0.33,0.06,27,60,12,41,211,-0.17,0.08,55,69,15,75,199,-0.05,0.07,39,65,13,55,101,-0.07,0.04,23,37,9,21,160,-0.18,0.06,53,70,22,75,20,0.18,0.01,3,10,1,5,119,-0.04,0.04,26,40,11,37,119,-0.03,0.04,21,48,8,54,349,-0.19,0.13,50,128,24,139
ARG,2023-02-03,Argentina,28,-0.03,0.01,2,5,2,3,264,0.03,0.1,51,74,15,68,45,0.88,0.02,7,17,3,7,158,-0.27,0.06,16,52,7,14,0,100,0,0,0,0,0,200,-0.07,0.07,50,76,13,56,424,0.13,0.16,55,155,27,102,120,0.03,0.04,19,40,13,34,43,-0.39,0.02,1,9,0,9,163,0.03,0.06,28,69,17,47,209,-0.01,0.08,42,79,9,73,192,-0.04,0.07,26,69,14,56,108,0.07,0.04,16,41,17,43,228,0.43,0.08,43,70,14,99,20,0,0.01,4,6,3,2,106,-0.11,0.04,29,40,7,34,105,-0.12,0.04,24,46,4,59,318,-0.09,0.12,52,132,22,113
ARG,2023-02-04,Argentina,9,-0.68,0,2,1,0,3,169,-0.36,0.09,38,63,14,36,15,-0.67,0.01,3,6,1,4,116,-0.27,0.06,15,49,7,22,0,100,0,0,0,0,0,144,-0.28,0.08,44,48,6,37,283,-0.33,0.15,36,124,19,95,80,-0.33,0.04,10,37,7,31,24,-0.44,0.01,2,11,2,9,177,0.09,0.09,27,75,6,54,144,-0.31,0.08,31,58,22,54,131,-0.32,0.07,16,49,6,42,66,-0.39,0.04,12,26,6,22,160,-0.3,0.09,30,76,15,71,10,-0.5,0.01,2,3,0,3,68,-0.36,0.04,20,25,5,29,81,-0.23,0.04,19,33,3,42,203,-0.36,0.11,34,84,16,91
ARG,2023-02-05,Argentina,19,1.11,0.01,4,7,0,4,84,-0.5,0.06,16,36,5,19,25,0.67,0.02,5,10,0,5,100,-0.14,0.07,14,44,11,20,0,100,0,0,0,0,0,116,-0.19,0.08,34,45,9,36,220,-0.22,0.15,29,98,19,67,85,0.06,0.06,15,43,6,34,16,-0.33,0.01,4,1,0,3,151,-0.15,0.1,23,47,7,41,117,-0.19,0.08,21,52,16,55,106,-0.19,0.07,21,38,8,37,54,-0.18,0.04,13,23,5,25,100,-0.37,0.07,20,53,12,51,12,0.2,0.01,2,7,1,4,74,0.09,0.05,17,33,4,30,50,-0.38,0.03,13,19,5,24,185,-0.09,0.12,34,81,13,88
ARG,2023-02-06,Argentina,35,0.84,0.01,10,6,2,6,249,1.96,0.1,39,84,13,49,20,-0.2,0.01,1,8,0,3,154,0.54,0.06,7,47,11,20,0,100,0,0,0,0,0,183,0.58,0.07,37,61,18,50,313,0.42,0.12,51,118,23,81,115,0.35,0.05,16,47,16,36,24,0.5,0.01,0,3,1,4,212,0.4,0.08,26,67,11,44,173,0.48,0.07,32,66,10,64,240,1.26,0.1,27,65,7,46,89,0.65,0.04,20,28,9,35,149,0.49,0.06,36,68,19,73,25,1.08,0.01,3,6,2,5,123,0.66,0.05,17,47,6,35,114,1.28,0.05,36,38,6,61,289,0.56,0.12,65,116,11,124
ARG,2023-02-07,Argentina,27,-0.23,0.01,8,6,1,5,281,0.13,0.1,46,101,16,56,33,0.65,0.01,7,9,2,7,177,0.15,0.06,26,44,16,25,0,100,0,0,0,0,0,207,0.13,0.07,57,61,15,60,411,0.31,0.15,56,164,44,115,164,0.43,0.06,21,71,14,51,24,0,0.01,5,7,1,3,181,-0.15,0.06,25,68,15,74,260,0.5,0.09,39,100,17,94,241,0,0.09,22,63,9,60,107,0.2,0.04,15,36,6,38,171,0.15,0.06,28,83,20,82,16,-0.36,0.01,3,4,0,2,96,-0.22,0.03,21,32,6,29,129,0.13,0.05,23,68,7,64,309,0.07,0.11,44,123,37,137
ARG,2023-02-08,Argentina,30,0.11,0.01,3,13,1,5,327,0.16,0.11,58,95,23,89,24,-0.27,0.01,3,11,0,13,204,0.15,0.07,27,59,7,19,0,100,0,0,0,0,0,239,0.15,0.08,60,80,22,68,511,0.24,0.17,82,207,41,138,129,-0.21,0.04,29,60,9,52,29,0.21,0.01,3,11,1,5,184,0.02,0.06,33,63,10,56,253,-0.03,0.08,43,95,16,91,228,-0.05,0.07,25,68,10,61,89,-0.17,0.03,14,19,3,32,199,0.16,0.06,51,97,18,109,15,-0.06,0,3,0,1,1,90,-0.06,0.03,16,34,6,32,166,0.29,0.05,29,80,11,85,370,0.2,0.12,54,164,35,155
ARG,2023-02-09,Argentina,22,-0.27,0.01,4,4,1,3,536,0.64,0.16,87,305,16,156,42,0.75,0.01,5,14,1,12,223,0.09,0.07,22,61,13,23,0,100,0,0,0,0,0,201,-0.16,0.06,41,88,21,61,567,0.11,0.17,89,247,33,133,132,0.02,0.04,13,56,12,40,47,0.62,0.01,5,14,1,12,192,0.04,0.06,30,72,20,63,262,0.04,0.08,51,115,25,101,218,-0.04,0.06,30,81,11,74,99,0.11,0.03,15,39,6,40,170,-0.15,0.05,39,78,14,93,20,0.33,0.01,3,7,1,7,92,0.02,0.03,20,33,3,28,184,0.11,0.05,31,70,10,84,384,0.04,0.11,48,172,34,171
ARG,2023-02-10,Argentina,32,0.45,0.01,2,9,1,6,409,-0.24,0.13,80,135,25,108,34,-0.19,0.01,2,14,2,10,169,-0.24,0.05,24,48,8,23,0,100,0,0,0,0,0,224,0.11,0.07,47,87,16,56,479,-0.16,0.15,76,166,27,106,130,-0.02,0.04,13,56,11,42,33,-0.3,0.01,0,9,1,5,179,-0.07,0.06,26,62,14,59,239,-0.09,0.08,43,88,12,91,195,-0.11,0.06,28,71,13,48,116,0.17,0.04,24,35,7,45,173,0.02,0.06,41,74,19,93,42,1.1,0.01,11,16,3,8,112,0.22,0.04,25,45,9,33,136,-0.26,0.04,22,51,15,67,394,0.03,0.13,65,154,29,158
ARG,2023-02-11,Argentina,23,-0.28,0.01,3,7,1,5,202,-0.51,0.09,38,100,12,52,31,-0.09,0.01,10,14,2,12,108,-0.36,0.05,16,28,4,14,0,100,0,0,0,0,0,175,-0.22,0.08,55,72,20,69,347,-0.28,0.16,52,137,20,144,117,-0.1,0.05,17,56,7,46,36,0.09,0.02,4,15,5,15,114,-0.36,0.05,20,42,5,40,156,-0.35,0.07,22,73,12,75,194,-0.01,0.09,39,74,14,69,74,-0.36,0.03,15,33,5,41,116,-0.33,0.05,20,63,9,60,50,0.19,0.02,14,27,11,19,72,-0.36,0.03,14,27,4,29,94,-0.31,0.04,21,36,10,41,231,-0.41,0.11,43,108,30,100
