id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-03-01,Argentina,47,0,0.01,2,16,4,2,434,0,0.11,96,125,25,34,44,0,0.01,6,12,5,5,256,0,0.07,47,64,9,6,201,0,0.05,34,70,22,13,327,0,0.08,95,80,13,34,562,0,0.14,89,172,44,51,162,0,0.04,32,68,19,11,39,0,0.01,6,15,0,1,302,0,0.08,72,110,6,17,296,0,0.08,60,96,13,47,211,0,0.05,34,77,9,13,79,0,0.02,16,29,4,8,167,0,0.04,39,59,24,22,41,0,0.01,6,12,7,1,119,0,0.03,26,40,6,13,135,0,0.03,27,55,14,29,490,0,0.13,109,187,32,77
ARG,2022-03-02,Argentina,65,0.38,0.02,7,16,1,2,887,1.04,0.22,165,223,26,39,53,0.2,0.01,12,10,8,7,210,-0.18,0.05,29,38,4,3,198,-0.01,0.05,23,70,17,22,274,-0.16,0.07,49,78,23,23,513,-0.09,0.12,73,122,20,51,152,-0.06,0.04,27,57,16,20,63,0.62,0.02,3,8,1,2,344,0.14,0.08,55,135,9,20,222,-0.25,0.05,38,64,17,47,195,-0.08,0.05,31,52,7,11,121,0.53,0.03,11,42,6,17,191,0.14,0.05,37,66,15,25,33,-0.2,0.01,1,12,4,1,85,-0.29,0.02,16,27,7,9,119,-0.12,0.03,23,49,13,35,382,-0.22,0.09,64,143,21,57
ARG,2022-03-03,Argentina,75,0.15,0.02,9,14,2,4,649,-0.27,0.16,120,175,25,31,56,0.06,0.01,7,10,2,2,249,0.19,0.06,39,59,4,1,171,-0.14,0.04,13,59,12,8,260,-0.05,0.07,53,69,15,16,542,0.06,0.14,83,154,26,48,195,0.28,0.05,29,67,9,19,41,-0.35,0.01,3,6,0,1,331,-0.04,0.08,83,96,9,19,235,0.06,0.06,52,76,22,48,228,0.17,0.06,29,62,7,21,87,-0.28,0.02,9,22,0,6,208,0.09,0.05,39,66,17,34,38,0.15,0.01,7,7,1,1,104,0.22,0.03,25,28,6,9,141,0.18,0.04,18,55,5,35,339,-0.11,0.09,46,114,20,59
ARG,2022-03-04,Argentina,68,-0.09,0.02,5,17,3,2,591,-0.09,0.14,110,184,25,32,97,0.73,0.02,25,25,5,6,223,-0.1,0.05,22,56,13,2,236,0.38,0.06,13,68,18,18,222,-0.15,0.05,43,67,4,14,565,0.04,0.13,73,156,27,44,178,-0.09,0.04,23,66,15,23,19,-0.54,0,2,5,1,0,457,0.38,0.11,142,134,11,19,306,0.3,0.07,48,102,20,58,218,-0.04,0.05,32,66,9,15,103,0.18,0.02,12,30,6,13,276,0.33,0.07,60,85,23,29,38,0,0.01,3,14,0,0,111,0.07,0.03,31,33,7,11,145,0.03,0.03,23,50,9,24,377,0.11,0.09,53,111,26,78
ARG,2022-03-05,Argentina,45,-0.34,0.02,8,11,2,0,259,-0.56,0.1,63,69,7,10,53,-0.45,0.02,9,13,3,2,153,-0.31,0.06,20,42,9,5,133,-0.44,0.05,21,50,17,15,184,-0.17,0.07,42,53,10,8,335,-0.41,0.12,59,108,19,32,137,-0.23,0.05,13,65,18,14,13,-0.32,0,2,4,0,1,383,-0.16,0.14,125,131,10,10,197,-0.36,0.07,39,59,19,36,160,-0.27,0.06,32,38,6,14,71,-0.31,0.03,6,29,1,15,156,-0.43,0.06,31,55,19,35,31,-0.18,0.01,5,9,2,2,102,-0.08,0.04,33,35,10,19,77,-0.47,0.03,16,32,12,17,230,-0.39,0.08,40,77,20,35
ARG,2022-03-06,Argentina,30,-0.33,0.01,3,9,1,2,184,-0.29,0.09,43,43,9,5,39,-0.26,0.02,4,12,5,1,91,-0.41,0.04,13,22,3,5,115,-0.14,0.05,12,39,14,8,131,-0.29,0.06,27,46,5,16,328,-0.02,0.15,49,89,25,33,109,-0.2,0.05,22,38,13,13,19,0.46,0.01,2,4,0,1,282,-0.26,0.13,57,129,7,12,168,-0.15,0.08,31,56,14,29,114,-0.29,0.05,23,36,5,9,62,-0.13,0.03,12,16,2,13,108,-0.31,0.05,16,38,12,15,19,-0.39,0.01,3,5,2,1,82,-0.2,0.04,15,24,7,10,100,0.3,0.05,12,36,6,27,174,-0.24,0.08,39,63,11,26
ARG,2022-03-07,Argentina,68,1.27,0.02,7,16,2,1,454,1.47,0.13,77,100,13,15,40,0.03,0.01,6,12,5,1,231,1.54,0.07,28,50,3,7,176,0.53,0.05,19,50,7,8,212,0.62,0.06,50,36,6,11,502,0.53,0.14,78,118,26,61,185,0.7,0.05,28,55,11,16,18,-0.05,0.01,0,1,1,0,377,0.34,0.11,84,126,14,16,199,0.18,0.06,46,53,13,37,209,0.83,0.06,31,43,10,13,84,0.35,0.02,14,22,2,14,212,0.96,0.06,48,50,17,30,27,0.42,0.01,6,7,1,0,113,0.38,0.03,21,22,5,8,131,0.31,0.04,21,43,13,25,277,0.59,0.08,37,83,13,28
ARG,2022-03-08,Argentina,82,0.21,0.02,8,20,5,2,518,0.14,0.13,140,99,13,10,46,0.15,0.01,6,12,3,2,433,0.87,0.11,55,75,6,8,166,-0.06,0.04,26,54,12,14,205,-0.03,0.05,41,49,11,8,722,0.44,0.18,94,163,28,42,172,-0.07,0.04,16,50,18,18,16,-0.11,0,0,8,0,0,320,-0.15,0.08,54,106,8,14,250,0.26,0.06,44,80,8,32,191,-0.09,0.05,32,56,9,17,106,0.26,0.03,31,31,3,14,221,0.04,0.05,37,74,14,26,47,0.74,0.01,8,9,2,0,96,-0.15,0.02,19,28,9,6,112,-0.15,0.03,15,37,8,24,330,0.19,0.08,53,90,10,26
ARG,2022-03-09,Argentina,61,-0.26,0.02,5,17,3,0,498,-0.04,0.13,71,108,23,15,154,2.35,0.04,63,32,14,21,202,-0.53,0.05,25,49,9,2,239,0.44,0.06,20,71,19,17,274,0.34,0.07,61,68,13,17,671,-0.07,0.17,112,160,33,39,201,0.17,0.05,30,89,21,24,18,0.13,0,2,6,0,1,292,-0.09,0.07,55,103,9,11,229,-0.08,0.06,36,77,12,33,197,0.03,0.05,27,51,6,10,101,-0.05,0.03,16,28,3,10,182,-0.18,0.05,33,59,12,19,26,-0.45,0.01,3,5,2,1,154,0.6,0.04,27,40,8,13,111,-0.01,0.03,14,38,11,21,351,0.06,0.09,52,99,27,57
ARG,2022-03-10,Argentina,82,0.34,0.02,13,12,4,0,481,-0.03,0.12,78,114,24,18,72,-0.53,0.02,19,15,5,8,220,0.09,0.05,31,60,9,4,244,0.02,0.06,37,84,23,25,274,0,0.07,42,66,8,26,652,-0.03,0.16,89,183,41,39,341,0.7,0.08,51,151,47,51,24,0.33,0.01,2,6,0,0,276,-0.05,0.07,42,110,12,17,205,-0.1,0.05,23,63,17,32,227,0.15,0.06,30,55,9,22,108,0.07,0.03,19,31,9,17,222,0.22,0.05,52,92,15,33,31,0.19,0.01,6,2,1,1,114,-0.26,0.03,16,39,8,14,107,-0.04,0.03,6,28,5,25,382,0.09,0.09,76,124,26,50
