id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-08-01,Argentina,24,0,0.01,3,5,1,3,410,0,0.13,53,130,22,60,37,0,0.01,7,16,6,7,233,0,0.07,25,48,8,19,0,0,0,0,0,0,0,212,0,0.07,62,49,8,44,444,0,0.14,64,175,27,106,209,0,0.07,27,59,13,49,48,0,0.02,2,8,1,4,219,0,0.07,31,69,9,69,209,0,0.07,36,58,8,61,182,0,0.06,15,63,4,34,86,0,0.03,14,26,4,17,208,0,0.07,43,88,16,101,17,0,0.01,1,7,0,3,113,0,0.04,31,30,5,38,133,0,0.04,25,55,10,51,349,0,0.11,68,136,23,116
ARG,2022-08-02,Argentina,21,-0.12,0.01,4,7,3,3,464,0.13,0.14,69,140,23,83,34,-0.08,0.01,8,7,2,3,193,-0.17,0.06,22,45,5,20,0,100,0,0,0,0,0,202,-0.05,0.06,55,63,6,48,426,-0.04,0.13,69,157,23,137,187,-0.11,0.06,25,60,17,64,44,-0.08,0.01,3,12,0,4,241,0.1,0.07,30,90,14,55,239,0.14,0.07,37,99,15,75,205,0.13,0.06,26,56,10,46,83,-0.03,0.03,16,22,2,25,226,0.09,0.07,43,103,37,116,20,0.18,0.01,5,7,4,4,122,0.08,0.04,52,23,5,41,145,0.09,0.05,22,67,8,78,368,0.05,0.11,82,138,27,154
ARG,2022-08-03,Argentina,38,0.81,0.01,3,18,2,12,476,0.03,0.12,67,161,23,63,51,0.5,0.01,10,17,6,12,272,0.41,0.07,42,73,8,38,0,100,0,0,0,0,0,292,0.45,0.07,71,92,15,76,643,0.51,0.16,86,282,17,138,294,0.57,0.07,39,126,34,94,20,-0.55,0,1,10,2,3,322,0.34,0.08,48,126,14,75,244,0.02,0.06,50,76,15,71,242,0.18,0.06,38,66,9,46,86,0.04,0.02,14,23,3,23,220,-0.03,0.05,40,117,21,108,24,0.2,0.01,5,10,1,5,134,0.1,0.03,33,51,12,43,165,0.14,0.04,35,49,12,64,600,0.63,0.15,81,224,32,217
ARG,2022-08-04,Argentina,23,-0.39,0.01,4,8,3,8,409,-0.14,0.11,58,123,10,58,62,0.22,0.02,14,27,9,23,232,-0.15,0.06,31,65,11,12,0,100,0,0,0,0,0,208,-0.29,0.05,52,56,10,45,629,-0.02,0.16,92,249,36,176,319,0.09,0.08,60,122,27,114,33,0.65,0.01,2,10,0,3,322,0,0.08,51,102,21,70,207,-0.15,0.05,33,79,10,57,237,-0.02,0.06,17,70,9,54,101,0.17,0.03,19,34,9,29,283,0.29,0.07,68,111,28,133,42,0.75,0.01,6,4,2,4,121,-0.1,0.03,21,43,6,39,176,0.07,0.05,33,55,11,66,468,-0.22,0.12,75,193,29,148
ARG,2022-08-05,Argentina,33,0.43,0.01,3,11,2,8,464,0.13,0.13,65,138,17,61,62,0,0.02,8,15,5,13,229,-0.01,0.07,39,58,5,16,0,100,0,0,0,0,0,242,0.16,0.07,68,69,13,61,488,-0.22,0.14,88,184,27,113,240,-0.25,0.07,47,103,23,77,18,-0.45,0.01,0,5,0,3,251,-0.22,0.07,48,89,20,82,267,0.29,0.08,62,110,19,103,229,-0.03,0.07,34,59,6,52,105,0.04,0.03,23,25,6,32,218,-0.23,0.06,58,103,23,110,21,-0.5,0.01,4,6,1,2,126,0.04,0.04,30,29,6,33,127,-0.28,0.04,27,52,10,48,378,-0.19,0.11,64,170,34,142
BHS,2022-08-01,Bahamas,1,0,0.01,0,0,0,0,13,0,0.08,3,2,2,1,8,0,0.05,0,1,0,0,4,0,0.03,1,1,0,0,0,0,0,0,0,0,0,36,0,0.23,5,11,3,1,10,0,0.06,5,3,2,3,9,0,0.06,0,4,0,2,0,0,0,0,0,0,0,12,0,0.08,1,2,2,1,11,0,0.07,2,6,0,1,10,0,0.06,3,2,2,1,1,0,0.01,0,0,0,0,25,0,0.16,3,2,0,3,2,0,0.01,0,0,0,1,1,0,0.01,0,0,0,0,12,0,0.08,3,5,1,2,4,0,0.03,0,2,1,2
BHS,2022-08-02,Bahamas,5,4,0.02,1,0,0,1,15,0.15,0.06,8,2,0,3,5,-0.37,0.02,0,1,1,0,6,0.5,0.02,2,1,0,0,0,100,0,0,0,0,0,57,0.58,0.24,17,12,9,9,16,0.6,0.07,6,5,0,6,10,0.11,0.04,4,4,1,2,1,100,0,0,1,1,1,16,0.33,0.07,6,4,1,4,16,0.45,0.07,3,2,5,4,15,0.5,0.06,2,6,1,2,6,5,0.02,2,1,0,1,23,-0.08,0.1,8,5,2,10,10,4,0.04,0,2,1,2,2,1,0.01,1,0,0,0,35,1.92,0.15,8,5,2,8,3,-0.25,0.01,2,0,0,1
BHS,2022-08-03,Bahamas,2,-0.6,0.01,1,0,0,0,22,0.47,0.09,4,7,2,1,11,1.2,0.04,2,3,1,1,11,0.83,0.04,1,3,0,0,0,100,0,0,0,0,0,65,0.14,0.26,17,17,6,6,21,0.31,0.08,6,7,1,5,3,-0.7,0.01,0,1,0,0,5,4,0.02,2,1,0,1,18,0.13,0.07,6,5,1,6,10,-0.37,0.04,2,5,1,2,10,-0.33,0.04,2,3,1,1,1,-0.83,0,1,0,0,0,33,0.43,0.13,8,9,7,11,5,-0.5,0.02,0,1,0,0,8,3,0.03,5,1,0,2,19,-0.46,0.08,3,1,0,4,6,1,0.02,2,0,0,1
BHS,2022-08-04,Bahamas,4,1,0.02,1,1,0,0,30,0.36,0.13,5,5,0,2,13,0.18,0.06,3,1,2,3,9,-0.18,0.04,0,0,1,0,0,100,0,0,0,0,0,48,-0.26,0.21,15,14,4,6,13,-0.38,0.06,5,0,1,0,4,0.33,0.02,2,2,2,2,2,-0.6,0.01,0,0,0,1,14,-0.22,0.06,2,0,2,1,22,1.2,0.09,2,3,3,3,14,0.4,0.06,3,4,1,2,2,1,0.01,0,2,0,1,28,-0.15,0.12,7,3,1,8,4,-0.2,0.02,1,2,0,1,4,-0.5,0.02,0,0,0,0,10,-0.47,0.04,1,4,2,2,13,1.17,0.06,0,2,0,1
BHS,2022-08-05,Bahamas,10,1.5,0.04,5,1,0,0,28,-0.07,0.11,1,14,2,1,7,-0.46,0.03,2,2,1,0,6,-0.33,0.02,1,1,0,1,0,100,0,0,0,0,0,40,-0.17,0.16,10,12,5,5,12,-0.08,0.05,3,4,3,2,5,0.25,0.02,0,5,1,2,0,-1,0,0,0,0,0,23,0.64,0.09,2,2,2,3,19,-0.14,0.07,9,4,5,4,18,0.29,0.07,4,3,3,3,3,0.5,0.01,1,1,0,1,38,0.36,0.15,7,12,5,9,6,0.5,0.02,1,2,0,1,3,-0.25,0.01,1,0,1,1,21,1.1,0.08,5,8,6,5,19,0.46,0.07,4,4,3,5
