id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-13,docs-delta-percent-13,docs-percent-13
ARG,2020-03-15,Argentina,177,0,5.4,285,0,8.8,262,0,8.0,288,0,8.8,637,0,19.6,603,0,18.5,132,0,4.1,162,0,5.0,197,0,6.1,89,0,2.7,19,0,0.6,343,0,10.5,61,0,1.9
ARG,2020-03-16,Argentina,190,7.3,4.1,399,40.0,8.5,352,34.4,7.5,509,76.7,10.9,880,38.1,18.8,825,36.8,17.6,369,179.5,7.9,183,13.0,3.9,239,21.3,5.1,104,16.9,2.2,38,100.0,0.8,547,59.5,11.7,53,-13.1,1.1
ARG,2020-03-17,Argentina,274,44.2,5.2,342,-14.3,6.5,515,46.3,9.8,577,13.4,11.0,1118,27.0,21.4,836,1.3,16.0,467,26.6,8.9,141,-23.0,2.7,218,-8.8,4.2,95,-8.7,1.8,52,36.8,1.0,549,0.4,10.5,47,-11.3,0.9
ARG,2020-03-18,Argentina,78,-71.5,4.5,88,-74.3,5.0,177,-65.6,10.1,194,-66.4,11.1,439,-60.7,25.1,279,-66.6,16.0,122,-73.9,7.0,47,-66.7,2.7,119,-45.4,6.8,23,-75.8,1.3,29,-44.2,1.7,140,-74.5,8.0,14,-70.2,0.8
ARG,2020-03-19,Argentina,78,0.0,6.8,59,-33.0,5.1,91,-48.6,7.9,86,-55.7,7.5,268,-39.0,23.4,188,-32.6,16.4,63,-48.4,5.5,26,-44.7,2.3,123,3.4,10.7,27,17.4,2.4,15,-48.3,1.3,106,-24.3,9.2,17,21.4,1.5
ARG,2020-03-20,Argentina,205,162.8,11.0,104,76.3,5.6,180,97.8,9.6,132,53.5,7.1,443,65.3,23.7,237,26.1,12.7,77,22.2,4.1,36,38.5,1.9,174,41.5,9.3,43,59.3,2.3,16,6.7,0.9,201,89.6,10.8,21,23.5,1.1
ARG,2020-03-21,Argentina,148,-27.8,10.2,75,-27.9,5.1,102,-43.3,7.0,76,-42.4,5.2,377,-14.9,25.9,246,3.8,16.9,61,-20.8,4.2,19,-47.2,1.3,112,-35.6,7.7,60,39.5,4.1,21,31.2,1.4,146,-27.4,10.0,14,-33.3,1.0
ARG,2020-03-22,Argentina,118,-20.3,9.3,58,-22.7,4.6,94,-7.8,7.4,86,13.2,6.8,341,-9.5,26.8,180,-26.8,14.2,45,-26.2,3.5,17,-10.5,1.3,100,-10.7,7.9,34,-43.3,2.7,12,-42.9,0.9,169,15.8,13.3,18,28.6,1.4
ARG,2020-03-23,Argentina,104,-11.9,7.2,72,24.1,5.0,152,61.7,10.5,101,17.4,7.0,371,8.8,25.5,192,6.7,13.2,46,2.2,3.2,26,52.9,1.8,120,20.0,8.3,56,64.7,3.9,18,50.0,1.2,181,7.1,12.5,14,-22.2,1.0
ARG,2020-03-24,Argentina,79,-24.0,9.2,50,-30.6,5.8,82,-46.1,9.5,83,-17.8,9.7,217,-41.5,25.3,109,-43.2,12.7,21,-54.3,2.4,6,-76.9,0.7,87,-27.5,10.1,26,-53.6,3.0,10,-44.4,1.2,84,-53.6,9.8,5,-64.3,0.6
ARG,2020-03-25,Argentina,278,251.9,7.2,257,414.0,6.6,371,352.4,9.5,392,372.3,10.1,1136,423.5,29.2,440,303.7,11.3,137,552.4,3.5,78,1200.0,2.0,213,144.8,5.5,91,250.0,2.3,51,410.0,1.3,413,391.7,10.6,29,480.0,0.7
ARG,2020-03-26,Argentina,248,-10.8,6.3,209,-18.7,5.3,381,2.7,9.7,521,32.9,13.3,1125,-1.0,28.7,487,10.7,12.4,131,-4.4,3.3,43,-44.9,1.1,170,-20.2,4.3,68,-25.3,1.7,47,-7.8,1.2,467,13.1,11.9,17,-41.4,0.4
ARG,2020-03-27,Argentina,222,-10.5,5.5,232,11.0,5.8,409,7.3,10.2,609,16.9,15.2,1159,3.0,29.0,377,-22.6,9.4,117,-10.7,2.9,72,67.4,1.8,205,20.6,5.1,84,23.5,2.1,47,0.0,1.2,432,-7.5,10.8,36,111.8,0.9
ARG,2020-03-28,Argentina,182,-18.0,5.3,227,-2.2,6.6,387,-5.4,11.2,504,-17.2,14.6,952,-17.9,27.5,361,-4.2,10.4,125,6.8,3.6,43,-40.3,1.2,168,-18.0,4.9,65,-22.6,1.9,56,19.1,1.6,364,-15.7,10.5,27,-25.0,0.8
ARG,2020-03-29,Argentina,168,-7.7,4.3,193,-15.0,4.9,463,19.6,11.8,600,19.0,15.3,1328,39.5,33.9,369,2.2,9.4,155,24.0,4.0,29,-32.6,0.7,151,-10.1,3.9,65,0.0,1.7,39,-30.4,1.0,330,-9.3,8.4,25,-7.4,0.6
ARG,2020-03-30,Argentina,178,6.0,3.2,291,50.8,5.2,849,83.4,15.3,1013,68.8,18.2,1644,23.8,29.5,512,38.8,9.2,193,24.5,3.5,38,31.0,0.7,190,25.8,3.4,86,32.3,1.5,36,-7.7,0.6,497,50.6,8.9,39,56.0,0.7
ARG,2020-03-31,Argentina,115,-35.4,4.2,148,-49.1,5.4,496,-41.6,18.1,417,-58.8,15.2,817,-50.3,29.9,214,-58.2,7.8,104,-46.1,3.8,28,-26.3,1.0,79,-58.4,2.9,42,-51.2,1.5,18,-50.0,0.7,236,-52.5,8.6,21,-46.2,0.8
ARG,2020-04-01,Argentina,98,-14.8,4.2,117,-20.9,5.0,312,-37.1,13.2,317,-24.0,13.4,849,3.9,36.0,206,-3.7,8.7,80,-23.1,3.4,39,39.3,1.7,68,-13.9,2.9,29,-31.0,1.2,24,33.3,1.0,212,-10.2,9.0,10,-52.4,0.4
ARG,2020-04-02,Argentina,96,-2.0,3.7,114,-2.6,4.4,263,-15.7,10.2,253,-20.2,9.8,1168,37.6,45.1,199,-3.4,7.7,70,-12.5,2.7,30,-23.1,1.2,77,13.2,3.0,39,34.5,1.5,19,-20.8,0.7,239,12.7,9.2,20,100.0,0.8
ARG,2020-04-03,Argentina,63,-34.4,2.6,87,-23.7,3.6,263,0.0,10.9,337,33.2,14.0,912,-21.9,37.8,189,-5.0,7.8,44,-37.1,1.8,21,-30.0,0.9,141,83.1,5.8,130,233.3,5.4,6,-68.4,0.2,202,-15.5,8.4,16,-20.0,0.7
