id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14
ARG,2021-06-01,Argentina,412,0,0.11,42,61,12,121,1766,0,0.48,147,181,53,428,153,0,0.04,9,20,6,51,71,0,0.02,0,0,0,48,178,0,0.05,19,22,6,57,150,0,0.04,24,14,9,52,126,0,0.03,7,14,10,36,144,0,0.04,16,12,7,55,238,0,0.07,18,27,4,51,33,0,0.01,0,0,0,9,184,0,0.05,26,32,7,33,52,0,0.01,0,0,3,19,36,0,0.01,0,0,0,4,102,0,0.03,5,26,3,34
ARG,2021-06-02,Argentina,377,-0.08,0.1,36,56,15,114,1885,0.07,0.5,171,207,59,463,185,0.21,0.05,19,26,10,67,61,-0.14,0.02,0,0,2,26,151,-0.15,0.04,21,25,5,46,138,-0.08,0.04,20,10,4,43,124,-0.02,0.03,10,20,1,36,128,-0.11,0.03,15,14,11,46,247,0.04,0.07,23,23,2,47,75,1.27,0.02,6,22,1,18,142,-0.23,0.04,23,7,5,23,70,0.35,0.02,0,0,2,28,35,-0.03,0.01,0,0,1,6,132,0.29,0.04,8,43,6,37
ARG,2021-06-03,Argentina,348,-0.08,0.1,38,45,12,96,1770,-0.06,0.51,155,229,45,481,231,0.25,0.07,23,39,11,72,62,0.02,0.02,0,0,3,21,149,-0.01,0.04,13,17,6,44,141,0.02,0.04,17,12,1,45,108,-0.13,0.03,6,14,4,30,143,0.12,0.04,22,15,3,40,179,-0.28,0.05,9,14,5,40,33,-0.56,0.01,0,0,2,8,107,-0.25,0.03,13,13,2,15,81,0.16,0.02,0,0,3,32,20,-0.43,0.01,0,0,0,6,107,-0.19,0.03,10,15,8,37
ARG,2021-06-04,Argentina,422,0.21,0.13,29,50,13,110,1584,-0.11,0.48,176,207,41,421,200,-0.13,0.06,15,40,8,76,64,0.03,0.02,0,0,5,27,140,-0.06,0.04,21,11,7,46,117,-0.17,0.04,14,17,3,38,149,0.38,0.04,14,17,2,46,119,-0.17,0.04,10,10,3,22,220,0.23,0.07,17,31,8,49,34,0.03,0.01,0,0,2,20,70,-0.35,0.02,0,0,2,13,52,-0.36,0.02,0,0,6,18,14,-0.3,0,0,0,1,1,134,0.25,0.04,9,26,3,69
ARG,2021-06-05,Argentina,405,-0.04,0.16,31,60,15,118,1216,-0.23,0.47,124,156,41,325,152,-0.24,0.06,18,24,8,71,46,-0.28,0.02,0,0,2,19,129,-0.08,0.05,19,25,8,44,98,-0.16,0.04,12,13,6,39,95,-0.36,0.04,7,16,1,32,81,-0.32,0.03,0,0,2,32,135,-0.39,0.05,14,11,1,29,16,-0.53,0.01,0,0,0,5,58,-0.17,0.02,0,0,1,6,36,-0.31,0.01,0,0,1,16,39,1.79,0.02,0,0,3,14,82,-0.39,0.03,0,0,2,25
ARG,2021-06-06,Argentina,303,-0.25,0.12,25,43,7,77,1093,-0.1,0.44,163,133,48,298,117,-0.23,0.05,11,21,6,48,31,-0.33,0.01,0,0,0,10,287,1.22,0.12,18,18,4,39,101,0.03,0.04,0,0,6,27,57,-0.4,0.02,0,0,3,18,88,0.09,0.04,13,17,6,26,184,0.36,0.07,11,22,0,71,27,0.69,0.01,0,0,0,10,52,-0.1,0.02,0,0,1,17,34,-0.06,0.01,0,0,1,14,12,-0.69,0,0,0,0,2,75,-0.09,0.03,0,0,1,24
ARG,2021-06-07,Argentina,350,0.16,0.12,24,46,13,104,1594,0.46,0.53,198,165,47,376,139,0.19,0.05,12,13,4,45,30,-0.03,0.01,0,0,0,11,168,-0.41,0.06,17,15,3,39,112,0.11,0.04,10,14,4,33,98,0.72,0.03,0,0,0,24,115,0.31,0.04,16,12,2,32,167,-0.09,0.06,16,12,3,34,38,0.41,0.01,0,0,3,18,60,0.15,0.02,0,0,1,12,42,0.24,0.01,0,0,3,15,25,1.08,0.01,0,0,1,6,58,-0.23,0.02,0,0,2,17
ARG,2021-06-08,Argentina,432,0.23,0.14,31,56,10,123,1603,0.01,0.52,208,148,56,417,131,-0.06,0.04,14,16,4,40,40,0.33,0.01,0,0,3,14,133,-0.21,0.04,17,20,4,38,97,-0.13,0.03,0,0,4,31,129,0.32,0.04,0,0,6,36,117,0.02,0.04,10,26,5,39,189,0.13,0.06,11,28,2,42,32,-0.16,0.01,0,0,3,8,62,0.03,0.02,0,0,3,11,31,-0.26,0.01,0,0,0,9,21,-0.16,0.01,0,0,1,6,70,0.21,0.02,0,0,5,28
ARG,2021-06-09,Argentina,316,-0.27,0.11,25,59,14,115,1491,-0.07,0.53,153,165,65,440,181,0.38,0.06,16,24,9,69,30,-0.25,0.01,0,0,1,13,135,0.02,0.05,15,23,9,46,105,0.08,0.04,12,11,3,37,102,-0.21,0.04,12,8,0,28,72,-0.38,0.03,12,11,1,22,160,-0.15,0.06,13,19,4,33,42,0.31,0.01,0,0,2,7,59,-0.05,0.02,0,0,0,12,38,0.23,0.01,0,0,1,20,19,-0.1,0.01,0,0,0,2,78,0.11,0.03,0,0,5,34
ARG,2021-06-10,Argentina,368,0.16,0.13,35,68,8,100,1488,0,0.54,165,181,47,392,153,-0.15,0.06,8,15,11,64,36,0.2,0.01,0,0,3,12,115,-0.15,0.04,13,18,5,42,87,-0.17,0.03,15,8,2,29,86,-0.16,0.03,0,0,1,20,97,0.35,0.04,0,0,4,28,146,-0.09,0.05,9,18,2,32,33,-0.21,0.01,0,0,0,12,48,-0.19,0.02,0,0,3,12,41,0.08,0.01,0,0,1,11,21,0.11,0.01,0,0,1,6,47,-0.4,0.02,0,0,1,14
