id,date,name,docs-1,docs-delta-docs-percent-1,docs-percent-1,docs-2,docs-delta-docs-percent-2,docs-percent-2,docs-3,docs-delta-docs-percent-3,docs-percent-3,docs-4,docs-delta-docs-percent-4,docs-percent-4,docs-5,docs-delta-docs-percent-5,docs-percent-5,docs-6,docs-delta-docs-percent-6,docs-percent-6,docs-7,docs-delta-docs-percent-7,docs-percent-7,docs-8,docs-delta-docs-percent-8,docs-percent-8,docs-9,docs-delta-docs-percent-9,docs-percent-9,docs-10,docs-delta-docs-percent-10,docs-percent-10,docs-11,docs-delta-docs-percent-11,docs-percent-11,docs-12,docs-delta-docs-percent-12,docs-percent-12,docs-13,docs-delta-docs-percent-13,docs-percent-13
ARG,2020-06-01,Argentina,230,0,7.8,109,0,3.7,397,0,13.4,308,0,10.4,820,0,27.8,330,0,11.2,212,0,7.2,41,0,1.4,134,0,4.5,46,0,1.6,40,0,1.4,243,0,8.2,44,0,1.5
ARG,2020-06-02,Argentina,263,14.3,9.1,82,-24.8,2.8,328,-17.4,11.3,362,17.5,12.5,1096,33.7,37.9,225,-31.8,7.8,94,-55.7,3.2,42,2.4,1.5,117,-12.7,4.0,30,-34.8,1.0,20,-50.0,0.7,216,-11.1,7.5,20,-54.5,0.7
ARG,2020-06-03,Argentina,245,-6.8,9.7,84,2.4,3.3,335,2.1,13.3,307,-15.2,12.2,758,-30.8,30.0,284,26.2,11.3,106,12.8,4.2,33,-21.4,1.3,96,-17.9,3.8,24,-20.0,1.0,27,35.0,1.1,198,-8.3,7.8,26,30.0,1.0
ARG,2020-06-04,Argentina,238,-2.9,10.0,94,11.9,3.9,350,4.5,14.6,276,-10.1,11.5,591,-22.0,24.7,272,-4.2,11.4,117,10.4,4.9,38,15.2,1.6,98,2.1,4.1,40,66.7,1.7,50,85.2,2.1,204,3.0,8.5,22,-15.4,0.9
ARG,2020-06-05,Argentina,325,36.6,11.2,109,16.0,3.8,381,8.9,13.1,316,14.5,10.9,576,-2.5,19.8,498,83.1,17.1,124,6.0,4.3,45,18.4,1.5,150,53.1,5.2,26,-35.0,0.9,54,8.0,1.9,273,33.8,9.4,29,31.8,1.0
ARG,2020-06-06,Argentina,215,-33.8,10.7,84,-22.9,4.2,317,-16.8,15.8,236,-25.3,11.8,487,-15.5,24.3,236,-52.6,11.8,82,-33.9,4.1,29,-35.6,1.4,89,-40.7,4.4,22,-15.4,1.1,24,-55.6,1.2,171,-37.4,8.5,9,-69.0,0.4
ARG,2020-06-07,Argentina,139,-35.3,9.1,56,-33.3,3.7,247,-22.1,16.1,166,-29.7,10.8,384,-21.1,25.0,198,-16.1,12.9,62,-24.4,4.0,27,-6.9,1.8,66,-25.8,4.3,24,9.1,1.6,14,-41.7,0.9,122,-28.7,8.0,28,211.1,1.8
ARG,2020-06-08,Argentina,250,79.9,11.2,83,48.2,3.7,335,35.6,15.0,338,103.6,15.2,471,22.7,21.1,286,44.4,12.8,123,98.4,5.5,44,63.0,2.0,110,66.7,4.9,28,16.7,1.3,20,42.9,0.9,125,2.5,5.6,18,-35.7,0.8
ARG,2020-06-09,Argentina,239,-4.4,10.4,73,-12.0,3.2,341,1.8,14.9,315,-6.8,13.8,500,6.2,21.9,263,-8.0,11.5,134,8.9,5.9,38,-13.6,1.7,121,10.0,5.3,21,-25.0,0.9,23,15.0,1.0,188,50.4,8.2,32,77.8,1.4
ARG,2020-06-10,Argentina,219,-8.4,8.8,75,2.7,3.0,310,-9.1,12.4,290,-7.9,11.6,706,41.2,28.4,282,7.2,11.3,107,-20.1,4.3,53,39.5,2.1,151,24.8,6.1,42,100.0,1.7,16,-30.4,0.6,216,14.9,8.7,23,-28.1,0.9
ARG,2020-06-11,Argentina,210,-4.1,8.2,75,0.0,2.9,480,54.8,18.7,257,-11.4,10.0,601,-14.9,23.4,222,-21.3,8.6,89,-16.8,3.5,62,17.0,2.4,112,-25.8,4.4,23,-45.2,0.9,25,56.2,1.0,201,-6.9,7.8,216,839.1,8.4
ARG,2020-06-12,Argentina,200,-4.8,8.0,122,62.7,4.9,379,-21.0,15.3,241,-6.2,9.7,645,7.3,26.0,316,42.3,12.7,76,-14.6,3.1,35,-43.5,1.4,103,-8.0,4.1,65,182.6,2.6,22,-12.0,0.9,231,14.9,9.3,50,-76.9,2.0
ARG,2020-06-13,Argentina,138,-31.0,7.8,51,-58.2,2.9,235,-38.0,13.3,180,-25.3,10.2,540,-16.3,30.5,216,-31.6,12.2,60,-21.1,3.4,39,11.4,2.2,93,-9.7,5.3,29,-55.4,1.6,9,-59.1,0.5,162,-29.9,9.1,19,-62.0,1.1
ARG,2020-06-14,Argentina,136,-1.4,8.6,56,9.8,3.5,223,-5.1,14.1,200,11.1,12.7,447,-17.2,28.3,171,-20.8,10.8,42,-30.0,2.7,18,-53.8,1.1,97,4.3,6.1,17,-41.4,1.1,26,188.9,1.6,133,-17.9,8.4,15,-21.1,0.9
ARG,2020-06-15,Argentina,251,84.6,11.8,70,25.0,3.3,324,45.3,15.2,226,13.0,10.6,590,32.0,27.8,224,31.0,10.5,58,38.1,2.7,41,127.8,1.9,93,-4.1,4.4,20,17.6,0.9,17,-34.6,0.8,196,47.4,9.2,16,6.7,0.8
