id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2023-04-01,Argentina,21,0,0.01,4,5,2,8,293,0,0.13,55,106,8,49,20,0,0.01,5,6,2,4,114,0,0.05,15,35,5,16,0,0,0,0,0,0,0,139,0,0.06,39,38,10,43,272,0,0.12,46,115,27,96,123,0,0.05,23,59,13,34,16,0,0.01,2,7,0,3,149,0,0.07,30,60,17,47,162,0,0.07,31,66,11,55,183,0,0.08,26,64,12,48,48,0,0.02,3,21,5,17,207,0,0.09,51,98,11,93,10,0,0,1,5,0,2,107,0,0.05,18,63,13,53,93,0,0.04,16,40,6,42,283,0,0.13,42,149,20,137
ARG,2023-04-02,Argentina,18,-0.14,0.01,2,3,0,5,253,-0.14,0.15,39,81,14,41,24,0.2,0.01,7,6,2,8,62,-0.46,0.04,10,23,1,16,0,100,0,0,0,0,0,118,-0.15,0.07,35,46,13,47,235,-0.14,0.14,48,92,21,76,90,-0.27,0.05,21,33,12,39,10,-0.37,0.01,1,4,0,0,97,-0.35,0.06,16,42,7,29,119,-0.27,0.07,16,62,6,50,114,-0.38,0.07,11,29,11,30,55,0.15,0.03,18,24,3,31,130,-0.37,0.08,26,61,17,71,14,0.4,0.01,6,6,0,2,60,-0.44,0.04,8,34,4,23,102,0.1,0.06,20,39,8,36,188,-0.34,0.11,36,79,16,89
ARG,2023-04-03,Argentina,29,0.61,0.01,4,8,0,5,427,0.69,0.13,73,92,13,63,46,0.92,0.01,9,14,2,14,197,2.18,0.06,16,49,8,17,0,100,0,0,0,0,0,264,1.24,0.08,52,84,15,62,399,0.7,0.12,41,141,34,96,169,0.88,0.05,28,64,17,58,36,2.6,0.01,3,5,2,4,198,1.04,0.06,16,82,14,44,213,0.79,0.06,36,85,18,75,217,0.9,0.07,26,62,10,53,75,0.36,0.02,16,27,2,37,209,0.61,0.06,43,93,24,95,22,0.57,0.01,4,8,1,5,89,0.48,0.03,18,29,4,30,327,2.21,0.1,61,139,27,197,381,1.03,0.12,82,169,31,173
ARG,2023-04-04,Argentina,36,0.24,0.01,5,10,2,8,547,0.28,0.16,82,152,16,74,43,-0.07,0.01,10,13,1,9,204,0.04,0.06,27,49,6,16,0,100,0,0,0,0,0,195,-0.26,0.06,53,51,6,50,416,0.04,0.12,64,130,26,117,144,-0.15,0.04,21,64,9,37,41,0.14,0.01,4,10,2,5,208,0.05,0.06,25,75,11,55,255,0.2,0.08,49,77,17,101,234,0.08,0.07,23,78,15,63,69,-0.08,0.02,15,22,5,21,198,-0.05,0.06,45,85,14,105,17,-0.23,0.01,4,4,2,3,135,0.52,0.04,35,44,10,40,298,-0.09,0.09,43,139,31,153,327,-0.14,0.1,51,113,19,126
ARG,2023-04-05,Argentina,19,-0.47,0.01,2,5,2,2,517,-0.05,0.16,72,138,11,87,32,-0.26,0.01,5,8,2,3,197,-0.03,0.06,22,60,12,18,0,100,0,0,0,0,0,239,0.23,0.07,55,69,13,58,382,-0.08,0.12,55,136,29,90,132,-0.08,0.04,15,55,11,44,31,-0.24,0.01,2,8,1,4,222,0.07,0.07,33,72,15,68,221,-0.13,0.07,36,95,25,85,333,0.42,0.1,44,109,17,97,88,0.28,0.03,17,28,3,30,193,-0.03,0.06,40,94,18,104,30,0.76,0.01,8,12,4,6,113,-0.16,0.03,19,51,6,31,221,-0.26,0.07,38,111,29,130,297,-0.09,0.09,45,135,21,148
ARG,2023-04-06,Argentina,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,100,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
ARG,2023-04-07,Argentina,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0
BHS,2023-04-01,Bahamas,1,0,0.01,0,0,0,0,34,0,0.2,14,4,0,5,5,0,0.03,2,2,1,3,2,0,0.01,0,1,0,0,0,0,0,0,0,0,0,18,0,0.11,6,4,1,3,13,0,0.08,1,7,0,3,6,0,0.04,2,0,1,3,1,0,0.01,0,0,0,0,7,0,0.04,0,3,1,1,24,0,0.14,1,10,3,2,8,0,0.05,4,1,0,3,1,0,0.01,1,0,0,0,21,0,0.12,4,3,1,5,0,0,0,0,0,0,0,8,0,0.05,0,2,0,0,17,0,0.1,1,9,1,4,4,0,0.02,0,2,0,2
BHS,2023-04-02,Bahamas,2,1,0.01,2,0,0,0,17,-0.5,0.11,5,2,1,3,7,0.4,0.05,1,1,1,2,0,-1,0,0,0,0,0,0,100,0,0,0,0,0,11,-0.39,0.07,2,5,1,2,9,-0.31,0.06,4,3,0,1,3,-0.5,0.02,1,2,1,0,2,1,0.01,0,0,0,0,2,-0.71,0.01,0,0,0,0,37,0.54,0.24,4,13,4,10,18,1.25,0.12,3,8,1,2,3,2,0.02,2,1,0,2,14,-0.33,0.09,2,3,1,3,1,100,0.01,0,0,0,1,11,0.38,0.07,1,4,1,2,15,-0.12,0.1,5,3,4,6,3,-0.25,0.02,1,1,1,1
BHS,2023-04-03,Bahamas,1,-0.5,0,0,1,0,0,23,0.35,0.11,4,6,2,0,14,1,0.07,0,3,1,2,9,100,0.04,1,5,2,0,0,100,0,0,0,0,0,26,1.36,0.13,4,3,3,6,19,1.11,0.09,2,2,0,6,2,-0.33,0.01,0,0,0,0,3,0.5,0.01,0,1,0,0,11,4.5,0.05,0,0,1,0,25,-0.32,0.12,3,9,2,5,17,-0.06,0.08,0,5,0,2,1,-0.67,0,0,1,0,0,33,1.36,0.16,7,5,2,8,4,3,0.02,0,1,2,1,2,-0.82,0.01,0,0,0,0,10,-0.33,0.05,0,4,0,0,6,1,0.03,1,2,1,0
