id,date,name,docs-1,docs-delta-percent-1,docs-percent-1,docs-female-1,docs-male-1,docs-questions-1,docs-complaints-1,docs-2,docs-delta-percent-2,docs-percent-2,docs-female-2,docs-male-2,docs-questions-2,docs-complaints-2,docs-3,docs-delta-percent-3,docs-percent-3,docs-female-3,docs-male-3,docs-questions-3,docs-complaints-3,docs-4,docs-delta-percent-4,docs-percent-4,docs-female-4,docs-male-4,docs-questions-4,docs-complaints-4,docs-5,docs-delta-percent-5,docs-percent-5,docs-female-5,docs-male-5,docs-questions-5,docs-complaints-5,docs-6,docs-delta-percent-6,docs-percent-6,docs-female-6,docs-male-6,docs-questions-6,docs-complaints-6,docs-7,docs-delta-percent-7,docs-percent-7,docs-female-7,docs-male-7,docs-questions-7,docs-complaints-7,docs-8,docs-delta-percent-8,docs-percent-8,docs-female-8,docs-male-8,docs-questions-8,docs-complaints-8,docs-9,docs-delta-percent-9,docs-percent-9,docs-female-9,docs-male-9,docs-questions-9,docs-complaints-9,docs-10,docs-delta-percent-10,docs-percent-10,docs-female-10,docs-male-10,docs-questions-10,docs-complaints-10,docs-11,docs-delta-percent-11,docs-percent-11,docs-female-11,docs-male-11,docs-questions-11,docs-complaints-11,docs-12,docs-delta-percent-12,docs-percent-12,docs-female-12,docs-male-12,docs-questions-12,docs-complaints-12,docs-13,docs-delta-percent-13,docs-percent-13,docs-female-13,docs-male-13,docs-questions-13,docs-complaints-13,docs-14,docs-delta-percent-14,docs-percent-14,docs-female-14,docs-male-14,docs-questions-14,docs-complaints-14,docs-15,docs-delta-percent-15,docs-percent-15,docs-female-15,docs-male-15,docs-questions-15,docs-complaints-15,docs-16,docs-delta-percent-16,docs-percent-16,docs-female-16,docs-male-16,docs-questions-16,docs-complaints-16,docs-17,docs-delta-percent-17,docs-percent-17,docs-female-17,docs-male-17,docs-questions-17,docs-complaints-17,docs-18,docs-delta-percent-18,docs-percent-18,docs-female-18,docs-male-18,docs-questions-18,docs-complaints-18
ARG,2022-04-01,Argentina,61,0,0.02,6,9,3,2,491,0,0.13,82,109,12,15,42,0,0.01,9,9,3,7,191,0,0.05,21,39,4,2,166,0,0.04,35,47,16,5,175,0,0.05,34,38,6,12,767,0,0.2,137,248,33,43,155,0,0.04,40,41,6,13,15,0,0,5,3,1,1,306,0,0.08,71,99,15,21,237,0,0.06,39,63,11,48,248,0,0.07,34,58,12,19,91,0,0.02,15,26,4,10,227,0,0.06,37,86,24,30,30,0,0.01,10,4,1,2,135,0,0.04,39,42,9,15,85,0,0.02,20,22,3,19,345,0,0.09,55,109,22,31
ARG,2022-04-02,Argentina,30,-0.51,0.01,3,11,0,0,306,-0.38,0.14,68,78,9,7,19,-0.55,0.01,4,4,0,2,80,-0.58,0.04,9,20,2,3,84,-0.49,0.04,9,35,7,7,155,-0.11,0.07,34,52,7,12,327,-0.57,0.15,60,127,23,31,101,-0.35,0.05,16,43,10,16,11,-0.27,0,2,2,1,1,292,-0.05,0.13,53,125,7,11,126,-0.47,0.06,32,43,2,24,131,-0.47,0.06,21,48,16,5,47,-0.48,0.02,7,20,4,7,159,-0.3,0.07,31,67,29,29,14,-0.53,0.01,6,4,0,0,74,-0.45,0.03,21,17,2,10,77,-0.09,0.03,10,27,6,17,176,-0.49,0.08,32,57,9,19
ARG,2022-04-03,Argentina,79,1.63,0.04,4,17,1,1,190,-0.38,0.09,30,46,10,7,23,0.21,0.01,3,9,4,1,96,0.2,0.04,13,32,3,0,86,0.02,0.04,25,30,4,6,119,-0.23,0.05,26,46,13,13,282,-0.14,0.13,38,103,14,17,94,-0.07,0.04,18,30,7,4,13,0.18,0.01,2,1,0,2,448,0.53,0.2,60,201,8,7,98,-0.22,0.04,15,33,6,19,108,-0.18,0.05,17,29,2,9,47,0,0.02,8,18,5,9,177,0.11,0.08,27,55,10,24,20,0.43,0.01,7,3,1,1,76,0.03,0.03,22,22,0,15,84,0.09,0.04,13,31,4,24,160,-0.09,0.07,23,66,15,22
ARG,2022-04-04,Argentina,95,0.2,0.03,6,15,0,1,423,1.23,0.12,65,100,10,9,44,0.91,0.01,6,10,2,1,248,1.58,0.07,43,40,6,1,141,0.64,0.04,15,48,14,13,179,0.5,0.05,28,40,7,12,538,0.91,0.15,69,165,23,81,170,0.81,0.05,18,66,12,17,18,0.38,0.01,3,3,2,1,420,-0.06,0.12,111,131,12,10,195,0.99,0.05,29,49,5,38,207,0.92,0.06,20,53,3,19,89,0.89,0.03,19,21,6,15,228,0.29,0.06,36,58,29,29,36,0.8,0.01,7,5,0,0,126,0.66,0.04,19,28,9,8,124,0.48,0.03,20,28,3,28,279,0.74,0.08,26,76,20,32
ARG,2022-04-05,Argentina,76,-0.2,0.02,6,20,4,2,511,0.21,0.13,90,114,17,15,52,0.18,0.01,9,14,5,3,303,0.22,0.08,56,54,7,4,158,0.12,0.04,20,62,22,13,215,0.2,0.05,46,61,13,19,602,0.12,0.15,77,197,40,33,185,0.09,0.05,34,58,21,28,33,0.83,0.01,3,8,0,0,352,-0.16,0.09,110,104,15,28,186,-0.05,0.05,16,56,10,31,301,0.45,0.08,33,68,11,20,128,0.44,0.03,16,39,8,16,228,0,0.06,43,79,27,38,30,-0.17,0.01,8,9,1,3,172,0.37,0.04,38,47,17,24,126,0.02,0.03,10,37,7,25,344,0.23,0.09,55,89,31,42
ARG,2022-04-06,Argentina,101,0.33,0.02,10,18,2,6,546,0.07,0.13,99,107,13,19,43,-0.17,0.01,6,7,3,3,263,-0.13,0.06,40,41,11,3,191,0.21,0.05,18,91,17,17,277,0.29,0.07,54,86,17,23,629,0.04,0.15,80,219,45,32,200,0.08,0.05,23,90,16,33,23,-0.3,0.01,2,2,0,1,277,-0.21,0.07,43,114,12,19,252,0.35,0.06,39,63,15,35,267,-0.11,0.06,33,77,9,23,110,-0.14,0.03,19,45,7,19,296,0.3,0.07,47,114,43,43,21,-0.3,0.01,4,4,1,1,187,0.09,0.05,35,50,6,13,113,-0.1,0.03,11,42,4,28,345,0,0.08,59,110,20,47
ARG,2022-04-07,Argentina,75,-0.26,0.02,8,16,0,4,600,0.1,0.14,115,152,12,21,47,0.09,0.01,6,13,4,2,274,0.04,0.06,32,52,2,1,185,-0.03,0.04,25,64,14,9,405,0.46,0.09,85,74,12,33,611,-0.03,0.14,91,225,45,48,170,-0.15,0.04,18,72,19,15,28,0.22,0.01,1,6,0,0,311,0.12,0.07,62,84,9,14,254,0.01,0.06,38,59,15,51,228,-0.15,0.05,22,69,9,28,91,-0.17,0.02,16,22,8,6,259,-0.12,0.06,44,88,30,46,52,1.48,0.01,4,10,3,1,190,0.02,0.04,31,52,12,13,125,0.11,0.03,17,48,5,34,397,0.15,0.09,72,136,29,57
ARG,2022-04-08,Argentina,90,0.2,0.02,6,13,3,1,561,-0.06,0.13,105,129,20,26,54,0.15,0.01,11,11,0,1,394,0.44,0.09,61,84,5,0,192,0.04,0.05,24,66,14,13,252,-0.38,0.06,51,54,9,27,549,-0.1,0.13,80,185,37,41,142,-0.16,0.03,16,43,7,11,25,-0.11,0.01,3,4,1,0,385,0.24,0.09,93,96,9,11,262,0.03,0.06,50,75,14,43,261,0.14,0.06,28,71,7,17,92,0.01,0.02,18,22,7,11,256,-0.01,0.06,52,94,33,39,24,-0.54,0.01,4,5,0,2,175,-0.08,0.04,19,38,6,15,129,0.03,0.03,16,40,7,27,384,-0.03,0.09,44,131,19,50
ARG,2022-04-09,Argentina,66,-0.27,0.02,6,17,0,1,303,-0.46,0.11,42,76,11,8,36,-0.33,0.01,7,10,1,2,190,-0.52,0.07,30,44,1,3,127,-0.34,0.05,20,52,7,8,155,-0.38,0.06,40,47,8,19,369,-0.33,0.14,61,149,27,32,125,-0.12,0.05,20,53,13,11,12,-0.52,0,2,3,0,0,382,-0.01,0.14,101,122,9,27,157,-0.4,0.06,31,46,6,17,149,-0.43,0.05,15,34,8,13,45,-0.51,0.02,13,16,1,13,144,-0.44,0.05,29,53,23,23,30,0.25,0.01,6,11,0,0,88,-0.5,0.03,18,30,4,12,89,-0.31,0.03,12,23,7,21,256,-0.33,0.09,37,90,17,32
ARG,2022-04-10,Argentina,55,-0.17,0.02,5,8,2,0,244,-0.19,0.09,44,72,9,15,43,0.19,0.02,6,13,3,5,105,-0.45,0.04,16,34,5,1,155,0.22,0.06,22,53,20,17,143,-0.08,0.06,34,45,7,9,373,0.01,0.14,39,113,15,18,144,0.15,0.06,28,55,17,14,7,-0.42,0,2,1,1,0,397,0.04,0.15,139,145,7,10,148,-0.06,0.06,30,37,4,34,125,-0.16,0.05,17,36,6,13,51,0.13,0.02,11,16,4,9,166,0.15,0.06,28,75,19,29,16,-0.47,0.01,3,4,2,0,85,-0.03,0.03,18,31,3,16,75,-0.16,0.03,8,34,2,10,252,-0.02,0.1,28,81,22,31
